id,updated_at,name,lat,long,nb_bikes,nb_empty_docks,installed,locked,temporary
562,2013-07-01T12:10:26-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T12:20:24-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T12:30:09-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T12:40:28-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T12:50:30-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T13:00:06-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T13:10:24-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T13:20:24-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T13:30:07-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T13:40:26-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T13:50:24-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T14:00:06-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T14:10:24-0700,Bury Place,51.51746,-0.12335,3,18,true,false,false
562,2013-07-01T14:20:23-0700,Bury Place,51.51746,-0.12335,2,19,true,false,false
562,2013-07-01T14:30:06-0700,Bury Place,51.51746,-0.12335,2,19,true,false,false
562,2013-07-01T14:40:23-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T14:50:23-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T15:00:14-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T15:10:25-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T15:20:30-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T15:30:09-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T15:40:28-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T15:50:28-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T16:00:07-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
